ch2,ch3,time
0.2000000043517503,-0.004136087288709358,-6.700699999999999e-08
0.20000000435175028,-0.0044642670192892794,-6.686595898437499e-08
0.2000000043517503,-0.0047880111350699864,-6.672491796874998e-08
0.2000000043517503,-0.005074168303777322,-6.658387695312498e-08
0.20000000435175028,-0.005295448752054481,-6.644283593749999e-08
0.20000000435175025,-0.0054330498408116665,-6.630179492187498e-08
0.2000000043517503,-0.005477677393629983,-6.616075390624998e-08
0.20000000435175028,-0.005428850275961856,-6.601971289062499e-08
0.20000000435175025,-0.005292969667110231,-6.587867187499999e-08
0.2000000043517502,-0.0050806917950236095,-6.573763085937498e-08
0.20000000435175028,-0.004804707038892356,-6.559658984374999e-08
0.20000000435175028,-0.004477978141895539,-6.545554882812499e-08
0.20000000435175017,-0.004113132623770365,-6.531450781249998e-08
0.2000000043517502,-0.0037227795943761068,-6.517346679687499e-08
0.20000000435175022,-0.0033204993837288236,-6.503242578124999e-08
0.20000000435175025,-0.0029216671197767443,-6.489138476562498e-08
0.20000000435175028,-0.002543983529302422,-6.475034374999998e-08
0.20000000435175014,-0.0022067924464064122,-6.460930273437499e-08
0.20000000435175022,-0.0019293432789912893,-6.446826171874999e-08
0.2000000043517503,-0.0017282571215636654,-6.432722070312498e-08
0.20000000435175028,-0.0016147353716740706,-6.418617968749999e-08
0.20000000435175025,-0.001592450107301359,-6.404513867187499e-08
0.20000000435175025,-0.0016563877241248944,-6.390409765624998e-08
0.2000000043517503,-0.0017934317295653327,-6.376305664062499e-08
0.20000000435175022,-0.001984535591052239,-6.362201562499999e-08
0.20000000435175025,-0.002208086710104601,-6.348097460937498e-08
0.2000000043517503,-0.002443603276138496,-6.333993359374998e-08
0.20000000435175036,-0.0026751229794629693,-6.319889257812499e-08
0.2000000043517502,-0.0028930285045602254,-6.305785156249999e-08
0.20000000435175014,-0.0030943780982368727,-6.291681054687498e-08
0.2000000043517503,-0.0032814619389958154,-6.277576953124999e-08
0.20000000435175028,-0.003458990093694773,-6.263472851562499e-08
0.20000000435175022,-0.003631017004168804,-6.249368749999998e-08
0.20000000435175014,-0.0037980376431249493,-6.235264648437499e-08
0.20000000435175022,-0.003955552508433885,-6.221160546874999e-08
0.20000000435175022,-0.004094333105493887,-6.207056445312498e-08
0.20000000435175033,-0.004202364653683272,-6.192952343749998e-08
0.20000000435175022,-0.00426810047451913,-6.178848242187499e-08
0.20000000435175025,-0.004283763289697326,-6.164744140624999e-08
0.20000000435175028,-0.004248280369669728,-6.150640039062498e-08
0.20000000435175025,-0.0041685834532537835,-6.136535937499999e-08
0.2000000043517502,-0.004058987991363184,-6.122431835937499e-08
0.20000000435175028,-0.003938655826661909,-6.108327734374998e-08
0.20000000435175033,-0.003827802985115358,-6.094223632812499e-08
0.20000000435175025,-0.003743259923042153,-6.080119531249999e-08
0.20000000435175028,-0.0036948283139111968,-6.066015429687498e-08
0.20000000435175025,-0.003683004004482818,-6.051911328124998e-08
0.20000000435175025,-0.0036988306018776004,-6.037807226562499e-08
0.20000000435175017,-0.003725969104447581,-6.023703124999999e-08
0.20000000435175028,-0.003744559171029067,-6.009599023437498e-08
0.2000000043517502,-0.003736160223243375,-5.995494921874999e-08
0.20000000435175017,-0.0036886218979431703,-5.981390820312499e-08
0.2000000043517503,-0.003599856995988066,-5.967286718749998e-08
0.20000000435175025,-0.003479645735012663,-5.9531826171874986e-08
0.20000000435175022,-0.0033489556986018346,-5.939078515624999e-08
0.20000000435175028,-0.0032369823082184002,-5.924974414062499e-08
0.20000000435175022,-0.0031760038291850155,-5.9108703124999985e-08
0.20000000435175028,-0.003195343998880047,-5.896766210937499e-08
0.20000000435175022,-0.0033154014814202356,-5.8826621093749987e-08
0.20000000435175025,-0.003542952219621906,-5.868558007812499e-08
0.20000000435175017,-0.0038685552301117323,-5.854453906249999e-08
0.20000000435175022,-0.004266865229678791,-5.8403498046874985e-08
0.20000000435175022,-0.004699526474879627,-5.826245703124999e-08
0.2000000043517504,-0.005120504553869852,-5.812141601562499e-08
0.20000000435175022,-0.005482699792307938,-5.798037499999999e-08
0.20000000435175017,-0.005744726109188135,-5.783933398437499e-08
0.20000000435175017,-0.005876120257019751,-5.7698292968749986e-08
0.20000000435175028,-0.005860977754848108,-5.755725195312499e-08
0.20000000435175028,-0.005698628184570234,-5.741621093749999e-08
0.20000000435175017,-0.0054018216765235215,-5.7275169921874984e-08
0.2000000043517504,-0.0049930716165601675,-5.713412890624999e-08
0.20000000435175025,-0.004500269238763626,-5.6993087890624986e-08
0.20000000435175033,-0.003952792442588959,-5.685204687499999e-08
0.20000000435175022,-0.003379148990196677,-5.671100585937499e-08
0.20000000435175022,-0.002806348485493715,-5.6569964843749985e-08
0.2000000043517502,-0.0022608945717941084,-5.642892382812499e-08
0.2000000043517502,-0.0017704951047049135,-5.6287882812499986e-08
0.20000000435175022,-0.0013654298606746913,-5.614684179687499e-08
0.20000000435175022,-0.001078158193615028,-5.600580078124999e-08
0.20000000435175025,-0.0009404772420819473,-5.5864759765624985e-08
0.20000000435175017,-0.0009784660539962086,-5.572371874999999e-08
0.20000000435175025,-0.0012061078254508352,-5.5582677734374986e-08
0.20000000435175025,-0.0016192949479262436,-5.544163671874999e-08
0.20000000435175028,-0.0021923338674473634,-5.530059570312499e-08
0.20000000435175025,-0.0028780069618924283,-5.5159554687499985e-08
0.20000000435175017,-0.003612771795967855,-5.501851367187499e-08
0.20000000435175022,-0.004326332806817445,-5.4877472656249986e-08
0.20000000435175028,-0.004953911197460872,-5.473643164062499e-08
0.20000000435175017,-0.005448438050331443,-5.459539062499999e-08
0.20000000435175028,-0.00578963288171275,-5.4454349609374985e-08
0.20000000435175017,-0.00598759720555183,-5.431330859374999e-08
0.2000000043517504,-0.00607937897861443,-5.4172267578124987e-08
0.20000000435175022,-0.006118894094544561,-5.403122656249999e-08
0.20000000435175022,-0.006162352070771528,-5.389018554687499e-08
0.20000000435175028,-0.00625241802388688,-5.3749144531249985e-08
0.20000000435175025,-0.006405506364191816,-5.360810351562499e-08
0.20000000435175017,-0.006605288154581278,-5.346706249999999e-08
